PRODUCTO,GERENCIA,Prod_Agost,Prod_Sept,VAR_PCT
BLANCOS,CPV,179.76,258.57,43.84
BLANCOS,GAN,439.16,522.3,18.93
BLANCOS,PRP,13005.94,13169.5,1.26
BLANCOS,GAA,682.29,682.77,0.07
BLANCOS,GCT,97.28,96.63,-0.67
BLANCOS,GRM,103.07,101.08,-1.93
BLANCOS,GPA,234.53,219.98,-6.2
BLANCOS,GNS,181.2,169.71,-6.34
BLANCOS,DFL,1.1,0.0,-100.0
