VICE,CAMPO,crudo_agosto,blancos_agosto,total_crudo_agosto,total_blancos_agosto,GEO_LATITUDE,GEO_LONGITUDE
CPV,BONANZA,1305.613548,26.57387097,3295.38,179.75741937,7.48952193151882,-73.4073069403123
CPV,PROVINCIA,1989.766452,153.1835484,3295.38,179.75741937,7.31453930386247,-73.4590991882192
DFL,FLOREÑA,1082.844516,,14637.118062500002,1.096129032,5.4624923846160085,-72.42580336164258
DFL,FLOREÑA MIRADOR,946.3745161,,14637.118062500002,1.096129032,,
DFL,GIBRALTAR,403.8506452,,14637.118062500002,1.096129032,7.04063204665264,-72.1734198014447
DFL,PAUTO SUR,12204.0483852,1.096129032,14637.118062500002,1.096129032,,
GAA,APIAY,2890.8896777,54.730645159999995,104890.921927937,682.286451645,4.07813299095537,-73.3828635784571
GAA,APIAY ESTE,654.05258067,15.825483871,104890.921927937,682.286451645,4.07653786258681,-73.3790573194641
GAA,AUSTRAL,251.52806456,6.955483871,104890.921927937,682.286451645,4.11272035947758,-73.4581502059573
GAA,CASTILLA,54344.8261252,,104890.921927937,682.286451645,3.83669612859037,-73.6658495206677
GAA,CASTILLA NORTE,38324.719673,,104890.921927937,682.286451645,3.83609338879354,-73.6374444266346
GAA,GAVAN,1358.8106454800002,17.812903222,104890.921927937,682.286451645,4.08946917607266,-73.369209515127
GAA,GUATIQUIA,1311.8129029000002,43.543870971000004,104890.921927937,682.286451645,4.10873300682813,-73.3686570065299
GAA,LIBERTAD,343.3690323,10.95645161,104890.921927937,682.286451645,4.06583700056432,-73.4710690032318
GAA,LIBERTAD NORTE,476.3183871,10.14193548,104890.921927937,682.286451645,4.07639600028638,-73.4774980029358
GAA,PACHAQUIARO,467.7554839,,104890.921927937,682.286451645,3.986281911834528,-73.49841364132008
GAA,POMPEYA,26.199677417,5.997096774,104890.921927937,682.286451645,5.22477639903633,-74.6510711587335
GAA,SAURIO,439.54258061,25.62032258,104890.921927937,682.286451645,4.06829975325984,-73.4270012946394
GAA,SURIA,3396.7703229,430.7222581,104890.921927937,682.286451645,4.04929377162247,-73.4257289835932
GAA,SURIA SUR,604.3267742,55.437096780000005,104890.921927937,682.286451645,3.32827359503048,-75.5753413277742
GAN,AGUAS BLANCAS,78.73483871,7.208064516,16367.31451682,878.311935486,4.87525640148838,-71.8882780352277
GAN,ANDINA,3813.652903,702.2509677,16367.31451682,878.311935486,,
GAN,ANGIE,13.98,,16367.31451682,878.311935486,,
GAN,ARAUCA,96.7316129,,16367.31451682,878.311935486,6.95492318717944,-71.8568215783508
GAN,BORANDA,291.1916129,,16367.31451682,878.311935486,,
GAN,CAIPAL,1016.972581,,16367.31451682,878.311935486,6.12201048527973,-74.5000603969786
GAN,CAPACHOS,784.8029032,121.0090323,16367.31451682,878.311935486,,
GAN,CAPACHOS SUR,183.2590323,47.84387097,16367.31451682,878.311935486,,
GAN,CAÑADA NORTE,1026.0019355,,16367.31451682,878.311935486,,
GAN,LA HOCHA,606.1664516,,16367.31451682,878.311935486,,
GAN,LOS POTROS,92.81903226,,16367.31451682,878.311935486,,
GAN,PALAGUA,7410.518065,,16367.31451682,878.311935486,-1.21570580034388,-80.4473327061338
GAN,VIGIA,258.53129035,,16367.31451682,878.311935486,,
GAN,VIGIA SUR,693.9522581,,16367.31451682,878.311935486,,
GCH,AKACIAS,25882.27355,,84439.75774031,0.0,3.94673520004684,-73.7212099636834
GCH,CHICHIMENE,37942.58354869999,,84439.75774031,0.0,3.9481442498292,-73.6703546270523
GCH,CHICHIMENE SW,20614.90064161,,84439.75774031,0.0,3.89821694663527,-73.7278244174903
GCT,INFANTAS,5621.177742,20.28837097,25176.342902,97.28069032,6.87859414392428,-70.7689971884409
GCT,LA CIRA,19555.16516,76.99231935,25176.342902,97.28069032,6.86377151625276,-70.765134699504
GNS,ARAGUATO,19.78774194,,88440.486779645,613.4506451139999,,
GNS,BAYONERO,186.56354843,,88440.486779645,613.4506451139999,,
GNS,CAJUA,4826.410968,,88440.486779645,613.4506451139999,,
GNS,CANAGUEY,594.0125806,,88440.486779645,613.4506451139999,,
